Name,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Groningen,430271.00,432670.00,436936.00,441157.00,442462.00,447427.00,453057.00,457611.00,459819.00,461802.00,462439.00,463722.00,465411.00,465301.00,465694.00,466090.00,467712.00,471745.00,474657.00,477685.00,481740.00,485978.00,491688.00,497472.00,502560.00,508173.00,511753.00,514011.00,517305.00,522425.00,526555.00,530361.00,532649.00,536106.00,540062.00,544264.00,547706.00,551315.00,553709.00,556869.00,559135.00,560708.00,561532.00,561119.00,560029.00,558378.00,556757.00,555200.00,553862.00,554604.00,555226.00,555397.00,556607.00,557995.00,558113.00,558124.00,558017.00,559988.00,562646.00,566489.00,570480.00,572997.00,574384.00,575072.00,574042.00,573614.00,573459.00,574092.00,576668.00,579036.00,580875.00,581705.00,582728.00,583942.00,583721.00,583581.00,582944.00,583990.00,585866.00,586937.00,590170.00,596075.00,601347.00
Fryslân,433541.00,436786.00,444017.00,452043.00,453109.00,456623.00,460519.00,463442.00,465267.00,467731.00,468069.00,468642.00,469943.00,470227.00,470348.00,469793.00,471153.00,474744.00,478206.00,479893.00,483162.00,487061.00,490976.00,495720.00,500935.00,506311.00,511330.00,516446.00,521751.00,526749.00,532524.00,539222.00,547223.00,553679.00,560614.00,566042.00,572850.00,578203.00,583989.00,589252.00,592374.00,595248.00,597236.00,597648.00,598068.00,599061.00,599104.00,599190.00,599151.00,600013.00,601839.00,603998.00,607016.00,609579.00,612028.00,615045.00,618115.00,621222.00,624500.00,630539.00,636184.00,639787.00,642066.00,642977.00,642230.00,642209.00,643189.00,644811.00,646305.00,647282.00,647214.00,646862.00,646317.00,646257.00,646040.00,646874.00,647268.00,647672.00,649957.00,651435.00,654019.00,659551.00,661904.00
Drenthe,252367.00,261098.00,269284.00,264875.00,266524.00,269769.00,273800.00,277258.00,280798.00,285079.00,287320.00,290585.00,293759.00,296403.00,297291.00,299294.00,301814.00,308028.00,311196.00,314424.00,319619.00,324517.00,329992.00,336207.00,342280.00,348001.00,354124.00,359856.00,366590.00,372580.00,379595.00,386400.00,393739.00,400883.00,405924.00,409874.00,413051.00,415978.00,418479.00,421528.00,423627.00,424720.00,427336.00,429463.00,431997.00,434038.00,436586.00,439066.00,441028.00,443510.00,445596.00,448256.00,451409.00,454864.00,457316.00,460817.00,464672.00,467093.00,469806.00,474506.00,478799.00,481254.00,482415.00,483369.00,484481.00,486197.00,488135.00,489918.00,490981.00,491411.00,490807.00,489918.00,488988.00,488576.00,488629.00,491792.00,492100.00,492167.00,493682.00,494771.00,497743.00,502051.00,504129.00
Overijssel,591063.00,598904.00,612744.00,620175.00,623616.00,633558.00,644492.00,656047.00,670030.00,682235.00,691473.00,700816.00,709769.00,718430.00,728006.00,738036.00,748337.00,760020.00,770848.00,783355.00,795635.00,835494.00,846944.00,860886.00,874493.00,887261.00,895916.00,907035.00,920882.00,932946.00,945882.00,956343.00,966806.00,977147.00,985569.00,992953.00,1001266.00,1009651.00,1018208.00,1027836.00,1033789.00,1038369.00,1042077.00,1044866.00,998751.00,1003915.00,1009997.00,1014949.00,1020424.00,1026325.00,1032418.00,1039083.00,1044648.00,1050389.00,1053966.00,1057944.00,1063527.00,1070444.00,1077625.00,1086280.00,1094032.00,1100677.00,1105512.00,1109432.00,1113529.00,1116374.00,1119994.00,1125435.00,1130345.00,1134465.00,1137668.00,1139350.00,1139697.00,1140652.00,1144280.00,1147687.00,1151501.00,1156431.00,1162406.00,1166533.00,1171910.00,1184333.00,1189033.00
Flevoland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177334.00,185365.00,193739.00,202678.00,211507.00,221505.00,232823.00,243441.00,253699.00,262325.00,272843.00,281472.00,293286.00,306468.00,317206.00,328936.00,341721.00,351680.00,359904.00,365859.00,370656.00,374424.00,378688.00,383449.00,387881.00,391967.00,395525.00,398441.00,399893.00,401791.00,404068.00,407818.00,411670.00,416546.00,423021.00,428226.00,434771.00,444701.00,450826.00
Gelderland,951527.00,970296.00,1003125.00,1017876.00,1003481.00,1019779.00,1039025.00,1057941.00,1077612.00,1100976.00,1118102.00,1132128.00,1149102.00,1166465.00,1185290.00,1205044.00,1223760.00,1250317.00,1266885.00,1287825.00,1314078.00,1339682.00,1359527.00,1384459.00,1410086.00,1434439.00,1456554.00,1479751.00,1505760.00,1533740.00,1558334.00,1580041.00,1601045.00,1620884.00,1639997.00,1653516.00,1668251.00,1680629.00,1694416.00,1708860.00,1719111.00,1727487.00,1735780.00,1745301.00,1761492.00,1771972.00,1783610.00,1794678.00,1804209.00,1816935.00,1828808.00,1839883.00,1851402.00,1864732.00,1876299.00,1886109.00,1895656.00,1906778.00,1919158.00,1934314.00,1949233.00,1960422.00,1966929.00,1972010.00,1975704.00,1979059.00,1983869.00,1991062.00,1998936.00,2004671.00,2010745.00,2015791.00,2019692.00,2026578.00,2035351.00,2047901.00,2060103.00,2071972.00,2085952.00,2096603.00,2110472.00,2133708.00,2149071.00
Utrecht,497397.00,503304.00,513904.00,523605.00,524942.00,544656.00,556391.00,565662.00,573422.00,584176.00,593303.00,600516.00,608972.00,618077.00,628876.00,639369.00,650304.00,662847.00,676889.00,686577.00,697450.00,708885.00,720595.00,733673.00,745892.00,758007.00,768715.00,784418.00,801285.00,816369.00,827343.00,838435.00,849266.00,857666.00,867909.00,873753.00,878734.00,885756.00,895464.00,907729.00,916694.00,923182.00,929401.00,936134.00,944372.00,953957.00,965229.00,1004632.00,1015515.00,1026841.00,1037294.00,1047035.00,1056033.00,1063460.00,1070585.00,1079428.00,1088621.00,1098722.00,1107849.00,1117997.00,1139925.00,1152218.00,1162258.00,1171291.00,1180039.00,1190604.00,1201350.00,1210869.00,1220910.00,1228794.00,1237117.00,1245294.00,1253672.00,1263572.00,1273613.00,1284504.00,1295484.00,1342158.00,1354834.00,1361153.00,1369873.00,1387643.00,1400057.00
Noord-Holland,1701855.00,1694657.00,1660816.00,1671692.00,1692390.00,1759499.00,1794070.00,1824305.00,1842604.00,1874557.00,1895242.00,1913158.00,1929620.00,1950244.00,1974815.00,1994416.00,2014446.00,2038196.00,2054509.00,2073119.00,2098514.00,2123904.00,2145059.00,2163231.00,2181454.00,2200602.00,2215876.00,2229911.00,2244456.00,2259955.00,2273594.00,2283414.00,2282686.00,2284829.00,2295875.00,2299410.00,2299535.00,2299175.00,2307646.00,2315676.00,2312266.00,2308047.00,2307447.00,2311534.00,2322708.00,2334209.00,2352888.00,2365160.00,2376015.00,2397088.00,2421665.00,2440165.00,2457329.00,2463611.00,2468432.00,2474754.00,2486105.00,2503158.00,2518354.00,2534599.00,2559477.00,2573120.00,2587265.00,2599103.00,2606584.00,2613070.00,2626163.00,2646445.00,2669084.00,2691477.00,2709822.00,2724300.00,2741369.00,2761929.00,2784854.00,2809483.00,2831182.00,2853359.00,2879527.00,2888486.00,2909827.00,2952622.00,2976487.00
Zuid-Holland,2171832.00,2162322.00,2121548.00,2122582.00,2161419.00,2256454.00,2308382.00,2351669.00,2382898.00,2424581.00,2453465.00,2477790.00,2506576.00,2537647.00,2570814.00,2600930.00,2629499.00,2668158.00,2697894.00,2726204.00,2755724.00,2787124.00,2817303.00,2847175.00,2875628.00,2902572.00,2922450.00,2943588.00,2968670.00,2991735.00,3013439.00,3018905.00,3018525.00,3024680.00,3048648.00,3049570.00,3052934.00,3063625.00,3083555.00,3106697.00,3121471.00,3129913.00,3139189.00,3151321.00,3164652.00,3186249.00,3208414.00,3200408.00,3219839.00,3245447.00,3271507.00,3295522.00,3313193.00,3325064.00,3332860.00,3344695.00,3359047.00,3378770.00,3397744.00,3420700.00,3423780.00,3439982.00,3451942.00,3458381.00,3458875.00,3455097.00,3461435.00,3481558.00,3505611.00,3528324.00,3552407.00,3563935.00,3577032.00,3600011.00,3622303.00,3650222.00,3681044.00,3673893.00,3708696.00,3726050.00,3753944.00,3804906.00,3840460.00
Zeeland,256131.00,257922.00,256459.00,227596.00,252483.00,258510.00,262589.00,265759.00,268609.00,271669.00,273690.00,275199.00,274244.00,275369.00,276558.00,278429.00,280379.00,283356.00,283721.00,283914.00,284571.00,285448.00,287517.00,290178.00,292267.00,295374.00,298457.00,301833.00,305754.00,310318.00,316124.00,319392.00,322891.00,326604.00,332286.00,335624.00,340071.00,344388.00,348268.00,351662.00,353697.00,354863.00,355514.00,355403.00,355781.00,355434.00,355501.00,355585.00,355947.00,357454.00,359205.00,361195.00,363867.00,365846.00,367354.00,368426.00,369949.00,370571.00,371866.00,374920.00,377235.00,378348.00,379028.00,379978.00,380186.00,380497.00,380585.00,380984.00,381409.00,381530.00,381407.00,381077.00,380621.00,380726.00,381252.00,381568.00,382304.00,383032.00,383488.00,385400.00,386767.00,391124.00,391634.00
